tool,rep,filter,bits,hits,seconds,addr_per_sec,gpu_watts,cpu_watts
idle,0,-,0,0,30,0,24.9,58.3
mkp224o,1,hon2o,25,692,90,2.579963e+08,25.0,338.5
honion,1,hon2on,30,1076,90,1.283718e+10,588.4,108.5
prefix32,1,hon2on,30,862,90,1.028406e+10,590.1,84.9
mkp224o,2,hon2o,25,696,90,2.594876e+08,138.8,341.0
honion,2,hon2on,30,1107,90,1.320702e+10,585.9,109.5
prefix32,2,hon2on,30,856,90,1.021248e+10,590.2,86.1
mkp224o,3,hon2o,25,712,90,2.654528e+08,140.1,339.8
honion,3,hon2on,30,1089,90,1.299228e+10,590.7,110.4
prefix32,3,hon2on,30,897,90,1.070163e+10,591.9,86.9
mkp224o,4,hon2o,25,681,90,2.538952e+08,139.9,339.9
honion,4,hon2on,30,1051,90,1.253892e+10,589.3,116.2
prefix32,4,hon2on,30,890,90,1.061811e+10,590.6,87.4
mkp224o,5,hon2o,25,701,90,2.613517e+08,140.2,340.0
honion,5,hon2on,30,1038,90,1.238382e+10,590.5,110.4
prefix32,5,hon2on,30,874,90,1.042723e+10,590.9,92.8
mkp224o,6,hon2o,25,629,90,2.345082e+08,140.3,338.6
honion,6,hon2on,30,1060,90,1.264629e+10,588.5,124.4
prefix32,6,hon2on,30,866,90,1.033178e+10,590.2,93.2
mkp224o,7,hon2o,25,694,90,2.587420e+08,140.6,337.8
honion,7,hon2on,30,1028,90,1.226452e+10,589.0,112.8
prefix32,7,hon2on,30,855,90,1.020055e+10,590.3,108.3
mkp224o,8,hon2o,25,659,90,2.456930e+08,140.3,337.1
honion,8,hon2on,30,1044,90,1.245541e+10,588.8,112.7
prefix32,8,hon2on,30,833,90,9.938077e+09,590.3,86.7
mkp224o,9,hon2o,25,660,90,2.460658e+08,140.4,339.1
honion,9,hon2on,30,1109,90,1.323089e+10,591.7,115.3
prefix32,9,hon2on,30,902,90,1.076128e+10,591.2,86.2
mkp224o,10,hon2o,25,644,90,2.401006e+08,140.8,339.3
honion,10,hon2on,30,1028,90,1.226452e+10,588.2,109.9
prefix32,10,hon2on,30,874,90,1.042723e+10,590.6,86.4
mkp224o,11,hon2o,25,699,90,2.606061e+08,140.2,339.9
honion,11,hon2on,30,1083,90,1.292069e+10,588.5,109.7
prefix32,11,hon2on,30,859,90,1.024827e+10,590.2,86.3
mkp224o,12,hon2o,25,721,90,2.688083e+08,139.5,339.2
honion,12,hon2on,30,1033,90,1.232417e+10,590.8,109.4
prefix32,12,hon2on,30,877,90,1.046302e+10,592.4,87.2
mkp224o,13,hon2o,25,682,90,2.542680e+08,139.8,339.9
honion,13,hon2on,30,1023,90,1.220487e+10,588.3,108.9
prefix32,13,hon2on,30,937,90,1.117885e+10,590.0,85.3
mkp224o,14,hon2o,25,665,90,2.479300e+08,139.8,339.6
honion,14,hon2on,30,1114,90,1.329054e+10,588.1,108.9
prefix32,14,hon2on,30,898,90,1.071356e+10,591.0,86.6
mkp224o,15,hon2o,25,685,90,2.553865e+08,140.1,339.4
honion,15,hon2on,30,977,90,1.165606e+10,590.6,109.5
prefix32,15,hon2on,30,850,90,1.014090e+10,591.0,86.5
mkp224o,16,hon2o,25,732,90,2.729094e+08,140.5,339.2
honion,16,hon2on,30,1001,90,1.194240e+10,589.0,111.5
prefix32,16,hon2on,30,893,90,1.065390e+10,591.7,85.9
mkp224o,17,hon2o,25,710,90,2.647072e+08,140.4,338.5
honion,17,hon2on,30,1067,90,1.272981e+10,587.5,109.9
prefix32,17,hon2on,30,877,90,1.046302e+10,590.4,86.7
mkp224o,18,hon2o,25,671,90,2.501669e+08,140.1,339.1
honion,18,hon2on,30,1119,90,1.335019e+10,591.2,109.5
prefix32,18,hon2on,30,857,90,1.022441e+10,591.8,84.8
mkp224o,19,hon2o,25,686,90,2.557593e+08,36.7,335.2
honion,19,hon2on,30,1027,90,1.225259e+10,591.9,112.6
prefix32,19,hon2on,30,820,90,9.782981e+09,590.2,88.0
mkp224o,20,hon2o,25,696,90,2.594876e+08,140.0,338.8
honion,20,hon2on,30,1046,90,1.247927e+10,588.6,109.5
prefix32,20,hon2on,30,889,90,1.060618e+10,591.8,86.4
mkp224o,21,hon2o,25,673,90,2.509126e+08,140.2,338.8
honion,21,hon2on,30,1036,90,1.235996e+10,589.1,109.4
prefix32,21,hon2on,30,908,90,1.083286e+10,590.5,86.3
mkp224o,22,hon2o,25,709,90,2.643344e+08,140.1,338.7
honion,22,hon2on,30,1127,90,1.344563e+10,587.7,109.4
prefix32,22,hon2on,30,897,90,1.070163e+10,591.3,86.2
mkp224o,23,hon2o,25,697,90,2.598604e+08,140.2,339.0
honion,23,hon2on,30,1048,90,1.250313e+10,591.8,114.4
prefix32,23,hon2on,30,874,90,1.042723e+10,592.5,86.3
mkp224o,24,hon2o,25,682,90,2.542680e+08,140.2,339.2
honion,24,hon2on,30,1051,90,1.253892e+10,588.7,109.4
prefix32,24,hon2on,30,869,90,1.036757e+10,590.7,86.0
mkp224o,25,hon2o,25,753,90,2.807387e+08,140.0,339.0
honion,25,hon2on,30,1061,90,1.265822e+10,588.0,109.4
prefix32,25,hon2on,30,878,90,1.047495e+10,590.7,86.2
mkp224o,26,hon2o,25,695,90,2.591148e+08,139.9,339.4
honion,26,hon2on,30,1048,90,1.250313e+10,588.8,110.0
prefix32,26,hon2on,30,880,90,1.049881e+10,591.8,87.4
mkp224o,27,hon2o,25,658,90,2.453202e+08,140.0,338.4
honion,27,hon2on,30,1008,90,1.202591e+10,588.4,110.6
prefix32,27,hon2on,30,865,90,1.031985e+10,590.4,87.4
mkp224o,28,hon2o,25,713,90,2.658257e+08,140.7,337.8
honion,28,hon2on,30,1078,90,1.286104e+10,585.9,110.4
prefix32,28,hon2on,30,849,90,1.012896e+10,590.1,89.4
mkp224o,29,hon2o,25,676,90,2.520311e+08,140.3,338.9
honion,29,hon2on,30,1028,90,1.226452e+10,592.1,111.0
prefix32,29,hon2on,30,876,90,1.045109e+10,591.8,91.1
mkp224o,30,hon2o,25,735,90,2.740279e+08,140.1,338.8
honion,30,hon2on,30,1085,90,1.294455e+10,588.2,111.2
prefix32,30,hon2on,30,865,90,1.031985e+10,590.2,91.4
mkp224o,31,hon2o,25,654,90,2.438289e+08,140.7,337.7
